YEAR;TRIMESTRE;;AEROPUERTO;AMAIME;CANDELARIA;CENICAYA;CORINTO;EL NARANJO;GUACARI;LA PAILA;VIRGINIA;MELENDEZ;MIRANDA;PALMIRA RITA;PRADERA;SAN MARCOS;TULUA
2012;12;;-1,059;-1,168;-1,095;-1,128;-1,61;-1,576;-0,767;-1,013;-0,914;-1,227;-0,954;-1,326;-0,073;-0,569;-1,007
2013;1;;-1,424;-1,336;-1,261;-1,376;-1,541;-1,534;-0,938;-1,167;-1,18;-1,505;-1,393;-1,507;-0,853;-1,078;-1,131
2013;2;;-1,137;-0,883;-0,807;-0,739;-0,95;-1,034;-0,397;-0,75;0,454;-1,108;-0,411;-1,249;0,081;-0,361;-0,582
2013;3;;-0,813;-0,57;-0,577;-0,167;-0,625;-0,424;0,053;-0,385;0,885;-0,742;0,1;-0,835;0,387;0,137;-0,242
2013;4;;-0,827;-0,785;0,244;-0,081;-0,639;-0,553;0,33;-0,65;1,421;-0,465;0,199;-1,011;0,929;0,484;-0,29
2013;5;;-0,369;-1,021;0,203;-0,333;-0,868;-1,276;0,585;-0,785;0,065;-0,297;-0,268;-1,364;1,01;0,855;-0,171
2013;6;;-0,815;-1,552;-0,223;-1,515;-1,13;-1,649;-0,206;-1,177;-0,951;-1,045;-1,274;-1,82;0,201;0,033;-0,947
2013;7;;-0,877;-1,299;-0,816;-0,71;-0,999;-1,419;-0,261;-0,651;-0,273;-0,971;-0,717;-1,305;0,101;0,151;-0,645
2013;8;;-1,262;-1,282;-0,774;-0,537;-0,415;-1,183;-0,499;-0,615;-0,066;-1,032;-0,423;-1,319;0,278;-0,399;-1,06
2013;9;;-1,064;-0,975;-0,697;-0,431;-0,081;-1,086;-0,491;-0,365;0,141;-0,792;0,198;-1,251;0,32;-0,372;-0,915
2013;10;;-0,662;-1,009;-0,674;-0,407;0,239;-1,082;-0,577;-0,516;0,035;-0,645;0,206;-1,559;0,44;-0,407;-0,932
2013;11;;-0,92;-1,342;-0,827;-0,768;-0,267;-1,477;-0,858;-1,059;-0,478;-0,913;-0,272;-1,983;-0,137;-0,678;-1,257
2013;12;;-0,529;-1,034;-0,728;-0,696;-0,026;-1,474;-0,497;-0,919;-0,333;-1,08;-0,505;-1,493;0,032;-0,249;-0,898
2014;1;;-0,868;-0,765;-0,493;-0,519;0,272;-0,805;-0,015;-0,494;-0,279;-1,058;-0,64;-0,874;-0,275;0,245;-0,224
2014;2;;-0,605;-0,545;-0,777;-0,591;0,172;-0,774;-0,241;-0,42;-0,345;-1,25;-0,573;-0,774;-1,262;0,365;-0,233
